ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,11,Sat,7,52.51507451,13.46188262,afternoon,17,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,9,Fri,6,52.5015952,13.36440379,afternoon,17,daylight,0,dry,0,6,6,1,0,1,0,0,0,3,slightly_injured
2018,8,Wed,4,52.53526723,13.43220014,evening,18,daylight,0,dry,0,2,2,1,0,0,1,0,0,3,slightly_injured
2018,6,Sat,7,52.48957961,13.35963316,afternoon,14,daylight,0,dry,0,2,6,1,1,0,0,0,1,2,seriously_injured
2018,6,Mon,2,52.46460634,13.45616516,afternoon,14,daylight,0,dry,0,3,6,0,1,0,1,0,0,3,slightly_injured
2018,8,Tue,3,52.5137587,13.34019406,morning,9,daylight,0,dry,0,2,6,0,1,0,1,0,0,3,slightly_injured
2018,5,Thu,5,52.5134504,13.4765842,morning,11,daylight,0,dry,0,2,6,0,1,0,0,0,1,3,slightly_injured
2018,4,Tue,3,52.5507491,13.41410612,evening,20,dark,2,dry,0,6,4,1,0,1,0,0,0,3,slightly_injured
2018,12,Fri,6,52.54907073,13.4134615,morning,9,daylight,0,dry,0,3,6,1,0,0,0,0,0,3,slightly_injured
2018,9,Thu,5,52.50488094,13.44850875,evening,18,dusk,1,dry,0,6,4,1,0,1,0,0,0,3,slightly_injured
2018,9,Fri,6,52.49879762,13.27320485,afternoon,14,daylight,0,dry,0,2,6,0,1,0,0,0,0,2,seriously_injured
2018,7,Thu,5,52.50479012,13.610454,afternoon,16,daylight,0,dry,0,0,2,1,1,0,0,0,0,3,slightly_injured
2018,7,Thu,5,52.51593863,13.45374027,morning,9,daylight,0,wet,1,5,2,1,1,0,0,0,0,3,slightly_injured
2018,5,Thu,5,52.43938741,13.38256278,morning,10,daylight,0,dry,0,6,2,0,1,1,0,0,0,3,slightly_injured
2018,3,Thu,5,52.46101446,13.41218735,morning,7,daylight,0,dry,0,0,1,0,1,0,0,0,0,3,slightly_injured
2018,11,Wed,4,52.53973604,13.43695649,morning,6,dark,2,wet,1,5,3,1,1,0,0,0,0,3,slightly_injured
2018,8,Fri,6,52.50934489,13.55342162,afternoon,13,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,7,Tue,3,52.41887536,13.39888867,afternoon,17,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,4,Wed,4,52.54721871,13.44826525,afternoon,15,daylight,0,dry,0,3,6,0,1,0,1,0,0,3,slightly_injured
2018,7,Mon,2,52.48507585,13.3539025,afternoon,14,daylight,0,dry,0,3,6,1,1,0,0,0,0,3,slightly_injured
2018,3,Fri,6,52.53406219,13.43779876,afternoon,12,daylight,0,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,5,Wed,4,52.50619146,13.28191589,morning,11,daylight,0,dry,0,0,7,0,1,0,0,0,0,2,seriously_injured
2018,10,Tue,3,52.51338354,13.4772856,evening,18,dark,2,wet,1,5,3,1,1,0,0,0,0,3,slightly_injured
